"V1" "V2" "V3" "V4" "V5"
"103" "284757" "35" "2410" "3e+06" "N2_EV1_star2"
"104" "284717" "33" "2381" "3e+06" "N2_EV1_star2"
"105" "285313" "33" "2403" "3e+06" "N2_EV1_star2"
"106" "309158" "31" "2482" "4e+06" "N2_EV1_star2"
"107" "308937" "34" "2484" "4e+06" "N2_EV1_star2"
"108" "308962" "35" "2492" "4e+06" "N2_EV1_star2"
"109" "308647" "33" "2496" "4e+06" "N2_EV1_star2"
"110" "309147" "36" "2497" "4e+06" "N2_EV1_star2"
"111" "308865" "31" "2495" "4e+06" "N2_EV1_star2"
"112" "308961" "36" "2500" "4e+06" "N2_EV1_star2"
"113" "308871" "35" "2494" "4e+06" "N2_EV1_star2"
"114" "308626" "34" "2504" "4e+06" "N2_EV1_star2"
"115" "308862" "33" "2499" "4e+06" "N2_EV1_star2"
"116" "308593" "34" "2464" "4e+06" "N2_EV1_star2"
"117" "308857" "35" "2490" "4e+06" "N2_EV1_star2"
"118" "308857" "32" "2485" "4e+06" "N2_EV1_star2"
"119" "308759" "34" "2491" "4e+06" "N2_EV1_star2"
"120" "308695" "34" "2494" "4e+06" "N2_EV1_star2"
"121" "325055" "36" "2543" "5e+06" "N2_EV1_star2"
"122" "325248" "32" "2538" "5e+06" "N2_EV1_star2"
"123" "324750" "37" "2559" "5e+06" "N2_EV1_star2"
"124" "325084" "34" "2540" "5e+06" "N2_EV1_star2"
"125" "324736" "36" "2543" "5e+06" "N2_EV1_star2"
"126" "325270" "34" "2548" "5e+06" "N2_EV1_star2"
"127" "324428" "36" "2535" "5e+06" "N2_EV1_star2"
"128" "325284" "37" "2547" "5e+06" "N2_EV1_star2"
"129" "324999" "35" "2536" "5e+06" "N2_EV1_star2"
"130" "325159" "35" "2551" "5e+06" "N2_EV1_star2"
"131" "324750" "35" "2550" "5e+06" "N2_EV1_star2"
"132" "324752" "33" "2530" "5e+06" "N2_EV1_star2"
"133" "324973" "33" "2539" "5e+06" "N2_EV1_star2"
"134" "324402" "36" "2528" "5e+06" "N2_EV1_star2"
"135" "324825" "35" "2559" "5e+06" "N2_EV1_star2"
"136" "20280" "7" "525" "50000" "N2_EV2_star2"
"137" "20397" "10" "542" "50000" "N2_EV2_star2"
"138" "20224" "8" "527" "50000" "N2_EV2_star2"
"139" "20401" "6" "527" "50000" "N2_EV2_star2"
"140" "20453" "6" "528" "50000" "N2_EV2_star2"
"141" "20084" "9" "523" "50000" "N2_EV2_star2"
"142" "20330" "7" "529" "50000" "N2_EV2_star2"
"143" "20166" "6" "517" "50000" "N2_EV2_star2"
"144" "20354" "7" "542" "50000" "N2_EV2_star2"
"145" "20239" "6" "537" "50000" "N2_EV2_star2"
"146" "20300" "10" "527" "50000" "N2_EV2_star2"
"147" "20410" "8" "557" "50000" "N2_EV2_star2"
"148" "19989" "11" "550" "50000" "N2_EV2_star2"
"149" "20294" "5" "553" "50000" "N2_EV2_star2"
"150" "20095" "8" "549" "50000" "N2_EV2_star2"
"151" "34918" "9" "844" "1e+05" "N2_EV2_star2"
"152" "34884" "6" "805" "1e+05" "N2_EV2_star2"
"153" "34946" "9" "821" "1e+05" "N2_EV2_star2"
"154" "34817" "9" "856" "1e+05" "N2_EV2_star2"
"155" "34780" "7" "828" "1e+05" "N2_EV2_star2"
"156" "35008" "11" "793" "1e+05" "N2_EV2_star2"
"157" "34855" "10" "829" "1e+05" "N2_EV2_star2"
"158" "34996" "15" "841" "1e+05" "N2_EV2_star2"
"159" "35058" "18" "803" "1e+05" "N2_EV2_star2"
"160" "34931" "18" "834" "1e+05" "N2_EV2_star2"
"161" "34826" "15" "848" "1e+05" "N2_EV2_star2"
"162" "34541" "10" "798" "1e+05" "N2_EV2_star2"
"163" "34858" "10" "781" "1e+05" "N2_EV2_star2"
"164" "34564" "14" "845" "1e+05" "N2_EV2_star2"
"165" "34712" "10" "826" "1e+05" "N2_EV2_star2"
"166" "67512" "17" "1274" "250000" "N2_EV2_star2"
"167" "67298" "17" "1277" "250000" "N2_EV2_star2"
"168" "67203" "23" "1310" "250000" "N2_EV2_star2"
"169" "67326" "26" "1298" "250000" "N2_EV2_star2"
"170" "67303" "20" "1325" "250000" "N2_EV2_star2"
"171" "67120" "22" "1288" "250000" "N2_EV2_star2"
"172" "67017" "26" "1316" "250000" "N2_EV2_star2"
"173" "67422" "19" "1254" "250000" "N2_EV2_star2"
"174" "67206" "22" "1319" "250000" "N2_EV2_star2"
"175" "67321" "25" "1289" "250000" "N2_EV2_star2"
"176" "67043" "25" "1253" "250000" "N2_EV2_star2"
"177" "66773" "21" "1328" "250000" "N2_EV2_star2"
"178" "67276" "24" "1320" "250000" "N2_EV2_star2"
"179" "67269" "28" "1297" "250000" "N2_EV2_star2"
"180" "67128" "19" "1339" "250000" "N2_EV2_star2"
"181" "102055" "34" "1653" "5e+05" "N2_EV2_star2"
"182" "102133" "40" "1667" "5e+05" "N2_EV2_star2"
"183" "102518" "39" "1669" "5e+05" "N2_EV2_star2"
"184" "102505" "33" "1687" "5e+05" "N2_EV2_star2"
"185" "102109" "37" "1658" "5e+05" "N2_EV2_star2"
"186" "102389" "36" "1692" "5e+05" "N2_EV2_star2"
"187" "102311" "38" "1693" "5e+05" "N2_EV2_star2"
"188" "102717" "39" "1694" "5e+05" "N2_EV2_star2"
"189" "102511" "35" "1689" "5e+05" "N2_EV2_star2"
"190" "102417" "35" "1696" "5e+05" "N2_EV2_star2"
"191" "102108" "38" "1662" "5e+05" "N2_EV2_star2"
"192" "102383" "39" "1669" "5e+05" "N2_EV2_star2"
"193" "102643" "37" "1681" "5e+05" "N2_EV2_star2"
"194" "102199" "34" "1654" "5e+05" "N2_EV2_star2"
"195" "102060" "45" "1711" "5e+05" "N2_EV2_star2"
"196" "143357" "57" "1993" "1e+06" "N2_EV2_star2"
"197" "143084" "48" "1997" "1e+06" "N2_EV2_star2"
"198" "143059" "48" "1999" "1e+06" "N2_EV2_star2"
"199" "142730" "59" "2009" "1e+06" "N2_EV2_star2"
"200" "143182" "52" "2059" "1e+06" "N2_EV2_star2"
"201" "142982" "56" "1991" "1e+06" "N2_EV2_star2"
"202" "143141" "52" "1975" "1e+06" "N2_EV2_star2"
"203" "143106" "51" "2007" "1e+06" "N2_EV2_star2"
"204" "143001" "48" "2024" "1e+06" "N2_EV2_star2"
"205" "143120" "66" "2034" "1e+06" "N2_EV2_star2"
"206" "143313" "56" "2030" "1e+06" "N2_EV2_star2"
"207" "143483" "61" "2013" "1e+06" "N2_EV2_star2"
"208" "143206" "56" "2032" "1e+06" "N2_EV2_star2"
"209" "143210" "49" "2037" "1e+06" "N2_EV2_star2"
"210" "142528" "55" "2020" "1e+06" "N2_EV2_star2"
"211" "183488" "69" "2296" "2e+06" "N2_EV2_star2"
"212" "182914" "75" "2277" "2e+06" "N2_EV2_star2"
"213" "183022" "73" "2279" "2e+06" "N2_EV2_star2"
"214" "183547" "70" "2275" "2e+06" "N2_EV2_star2"
"215" "182972" "80" "2276" "2e+06" "N2_EV2_star2"
"216" "183311" "82" "2288" "2e+06" "N2_EV2_star2"
"217" "183446" "78" "2273" "2e+06" "N2_EV2_star2"
"218" "183182" "75" "2294" "2e+06" "N2_EV2_star2"
"219" "183562" "78" "2286" "2e+06" "N2_EV2_star2"
"220" "183485" "73" "2319" "2e+06" "N2_EV2_star2"
"221" "183455" "74" "2297" "2e+06" "N2_EV2_star2"
"222" "183261" "77" "2265" "2e+06" "N2_EV2_star2"
"223" "183078" "80" "2283" "2e+06" "N2_EV2_star2"
"224" "183374" "77" "2288" "2e+06" "N2_EV2_star2"
"225" "183474" "77" "2284" "2e+06" "N2_EV2_star2"
"226" "204903" "89" "2396" "3e+06" "N2_EV2_star2"
"227" "204647" "99" "2415" "3e+06" "N2_EV2_star2"
"228" "204827" "95" "2416" "3e+06" "N2_EV2_star2"
"229" "204803" "93" "2393" "3e+06" "N2_EV2_star2"
"230" "204896" "77" "2382" "3e+06" "N2_EV2_star2"
"231" "204784" "89" "2401" "3e+06" "N2_EV2_star2"
"232" "205027" "92" "2410" "3e+06" "N2_EV2_star2"
"233" "204880" "90" "2411" "3e+06" "N2_EV2_star2"
"234" "204497" "87" "2382" "3e+06" "N2_EV2_star2"
"235" "204960" "101" "2396" "3e+06" "N2_EV2_star2"
"236" "204922" "89" "2396" "3e+06" "N2_EV2_star2"
"237" "204624" "95" "2411" "3e+06" "N2_EV2_star2"
"238" "204814" "88" "2407" "3e+06" "N2_EV2_star2"
"239" "204535" "92" "2391" "3e+06" "N2_EV2_star2"
"240" "204579" "89" "2404" "3e+06" "N2_EV2_star2"
"241" "218638" "102" "2471" "4e+06" "N2_EV2_star2"
"242" "218782" "103" "2503" "4e+06" "N2_EV2_star2"
"243" "218893" "101" "2498" "4e+06" "N2_EV2_star2"
"244" "218797" "103" "2473" "4e+06" "N2_EV2_star2"
"245" "218905" "103" "2457" "4e+06" "N2_EV2_star2"
