"V1" "V2" "V3" "V4" "V5"
"111" "323442" "35" "2545" "40" "N2_EV1_star2"
"112" "323914" "35" "2536" "40" "N2_EV1_star2"
"113" "323958" "34" "2528" "40" "N2_EV1_star2"
"114" "323880" "36" "2536" "40" "N2_EV1_star2"
"115" "324055" "34" "2544" "40" "N2_EV1_star2"
"116" "323807" "37" "2543" "40" "N2_EV1_star2"
"117" "323934" "36" "2526" "40" "N2_EV1_star2"
"118" "323875" "35" "2540" "40" "N2_EV1_star2"
"119" "323917" "33" "2536" "40" "N2_EV1_star2"
"120" "324079" "34" "2533" "40" "N2_EV1_star2"
"121" "338022" "37" "2575" "50" "N2_EV1_star2"
"122" "338232" "35" "2589" "50" "N2_EV1_star2"
"123" "338122" "35" "2587" "50" "N2_EV1_star2"
"124" "338157" "34" "2588" "50" "N2_EV1_star2"
"125" "338147" "36" "2579" "50" "N2_EV1_star2"
"126" "337820" "34" "2585" "50" "N2_EV1_star2"
"127" "338093" "35" "2581" "50" "N2_EV1_star2"
"128" "338235" "35" "2600" "50" "N2_EV1_star2"
"129" "338118" "34" "2578" "50" "N2_EV1_star2"
"130" "337928" "34" "2582" "50" "N2_EV1_star2"
"131" "337697" "34" "2597" "50" "N2_EV1_star2"
"132" "338019" "34" "2587" "50" "N2_EV1_star2"
"133" "338063" "34" "2576" "50" "N2_EV1_star2"
"134" "338228" "37" "2581" "50" "N2_EV1_star2"
"135" "337932" "33" "2579" "50" "N2_EV1_star2"
"136" "348162" "35" "2614" "60" "N2_EV1_star2"
"137" "348299" "35" "2623" "60" "N2_EV1_star2"
"138" "348467" "39" "2623" "60" "N2_EV1_star2"
"139" "348530" "38" "2601" "60" "N2_EV1_star2"
"140" "348120" "35" "2603" "60" "N2_EV1_star2"
"141" "348145" "37" "2632" "60" "N2_EV1_star2"
"142" "348237" "34" "2612" "60" "N2_EV1_star2"
"143" "348049" "33" "2612" "60" "N2_EV1_star2"
"144" "348151" "38" "2608" "60" "N2_EV1_star2"
"145" "347898" "36" "2631" "60" "N2_EV1_star2"
"146" "348187" "36" "2626" "60" "N2_EV1_star2"
"147" "348312" "36" "2621" "60" "N2_EV1_star2"
"148" "348044" "36" "2606" "60" "N2_EV1_star2"
"149" "348311" "36" "2618" "60" "N2_EV1_star2"
"150" "348166" "35" "2596" "60" "N2_EV1_star2"
"151" "355715" "37" "2634" "70" "N2_EV1_star2"
"152" "355584" "35" "2636" "70" "N2_EV1_star2"
"153" "355503" "37" "2636" "70" "N2_EV1_star2"
"154" "355884" "36" "2635" "70" "N2_EV1_star2"
"155" "355402" "35" "2641" "70" "N2_EV1_star2"
"156" "355876" "36" "2634" "70" "N2_EV1_star2"
"157" "355608" "39" "2645" "70" "N2_EV1_star2"
"158" "355688" "37" "2644" "70" "N2_EV1_star2"
"159" "355865" "36" "2630" "70" "N2_EV1_star2"
"160" "355800" "37" "2625" "70" "N2_EV1_star2"
"161" "355601" "38" "2637" "70" "N2_EV1_star2"
"162" "355630" "38" "2635" "70" "N2_EV1_star2"
"163" "355581" "37" "2635" "70" "N2_EV1_star2"
"164" "355533" "37" "2641" "70" "N2_EV1_star2"
"165" "355780" "38" "2640" "70" "N2_EV1_star2"
"166" "361622" "37" "2655" "80" "N2_EV1_star2"
"167" "361342" "38" "2657" "80" "N2_EV1_star2"
"168" "361621" "38" "2655" "80" "N2_EV1_star2"
"169" "361623" "38" "2652" "80" "N2_EV1_star2"
"170" "361576" "39" "2655" "80" "N2_EV1_star2"
"171" "361345" "37" "2654" "80" "N2_EV1_star2"
"172" "361505" "39" "2651" "80" "N2_EV1_star2"
"173" "361627" "35" "2661" "80" "N2_EV1_star2"
"174" "361692" "36" "2658" "80" "N2_EV1_star2"
"175" "361481" "37" "2642" "80" "N2_EV1_star2"
"176" "361239" "37" "2642" "80" "N2_EV1_star2"
"177" "361587" "39" "2660" "80" "N2_EV1_star2"
"178" "361856" "38" "2659" "80" "N2_EV1_star2"
"179" "361522" "35" "2646" "80" "N2_EV1_star2"
"180" "361464" "39" "2637" "80" "N2_EV1_star2"
"181" "366026" "38" "2674" "90" "N2_EV1_star2"
"182" "366100" "39" "2665" "90" "N2_EV1_star2"
"183" "366149" "37" "2671" "90" "N2_EV1_star2"
"184" "366214" "36" "2679" "90" "N2_EV1_star2"
"185" "366031" "38" "2675" "90" "N2_EV1_star2"
"186" "366103" "39" "2669" "90" "N2_EV1_star2"
"187" "366237" "38" "2653" "90" "N2_EV1_star2"
"188" "366170" "35" "2672" "90" "N2_EV1_star2"
"189" "365947" "38" "2663" "90" "N2_EV1_star2"
"190" "366064" "38" "2659" "90" "N2_EV1_star2"
"191" "366082" "36" "2674" "90" "N2_EV1_star2"
"192" "366115" "37" "2668" "90" "N2_EV1_star2"
"193" "366204" "39" "2661" "90" "N2_EV1_star2"
"194" "366346" "36" "2656" "90" "N2_EV1_star2"
"195" "365955" "36" "2662" "90" "N2_EV1_star2"
"196" "367947" "38" "2670" "95" "N2_EV1_star2"
"197" "367940" "37" "2668" "95" "N2_EV1_star2"
"198" "367891" "37" "2665" "95" "N2_EV1_star2"
"199" "367958" "38" "2671" "95" "N2_EV1_star2"
"200" "368119" "36" "2676" "95" "N2_EV1_star2"
"201" "367983" "39" "2667" "95" "N2_EV1_star2"
"202" "368060" "39" "2676" "95" "N2_EV1_star2"
"203" "368107" "38" "2683" "95" "N2_EV1_star2"
"204" "368158" "38" "2665" "95" "N2_EV1_star2"
"205" "367945" "36" "2673" "95" "N2_EV1_star2"
"206" "368080" "34" "2685" "95" "N2_EV1_star2"
"207" "368273" "39" "2667" "95" "N2_EV1_star2"
"208" "368281" "38" "2662" "95" "N2_EV1_star2"
"209" "368386" "36" "2671" "95" "N2_EV1_star2"
"210" "368197" "37" "2662" "95" "N2_EV1_star2"
"211" "369843" "38" "2683" "100" "N2_EV1_star2"
"212" "369964" "39" "2677" "100" "N2_EV1_star2"
"213" "369861" "40" "2676" "100" "N2_EV1_star2"
"214" "369990" "37" "2673" "100" "N2_EV1_star2"
"215" "369951" "37" "2677" "100" "N2_EV1_star2"
